id,time,ao5,ao12,ao100
100,10.66,13.32,13.0,12.65
99,14.42,13.32,13.0,-
98,13.08,12.6,13.02,-
97,12.45,13.14,12.92,-
96,14.69,12.98,12.84,-
95,11.97,13.02,12.82,-
94,12.28,13.04,12.65,-
93,14.85,13.14,12.5,-
92,11.70,12.11,12.45,-
91,14.80,13.09,12.34,-
90,12.03,12.22,11.94,-
89,12.59,12.1,11.8,-
88,11.69,12.74,11.69,-
87,14.64,12.25,11.65,-
86,12.03,11.02,11.34,-
85,10.07,11.76,11.18,-
84,14.51,11.88,11.27,-
83,10.22,10.68,10.92,-
82,10.83,10.73,11.3,-
81,14.25,10.94,11.64,-
80,10.57,10.86,11.52,-
79,10.64,11.14,11.5,-
78,10.71,11.14,11.86,-
77,11.48,11.29,12.06,-
76,11.24,11.03,12.3,-
75,11.47,11.11,12.63,-
74,10.39,12.02,12.78,-
73,11.14,12.79,13.22,-
72,10.70,12.65,13.55,-
71,14.23,13.82,13.79,-
70,14.22,13.3,13.41,-
69,13.02,13.21,13.43,-
68,10.09,13.7,13.55,-
67,14.49,13.81,13.93,-
66,12.67,13.91,13.58,-
65,13.95,14.41,13.73,-
64,14.93,14.1,13.47,-
63,12.98,13.49,13.47,-
62,14.82,13.97,13.66,-
61,14.46,13.89,13.36,-
60,13.02,13.83,13.41,-
59,10.45,13.17,13.21,-
58,14.42,14.21,13.33,-
57,14.21,13.25,12.99,-
56,14.25,13.26,12.81,-
55,11.04,13.46,12.69,-
54,14.18,13.63,12.93,-
53,11.35,13.88,12.94,-
52,14.94,13.88,13.21,-
51,14.86,12.97,12.81,-
50,11.85,11.7,12.49,-
49,14.94,11.87,12.64,-
48,10.97,11.87,12.44,-
47,12.22,12.55,12.47,-
46,11.04,12.94,12.51,-
45,12.36,13.49,12.76,-
44,13.08,13.49,12.59,-
43,13.39,13.02,12.69,-
42,14.35,13.01,12.76,-
41,14.00,12.46,12.44,-
40,10.04,11.74,12.43,-
39,11.68,12.23,12.62,-
38,13.35,12.79,12.51,-
37,12.36,12.07,12.45,-
36,11.20,12.47,12.36,-
35,12.65,13.41,12.27,-
34,13.55,12.85,12.07,-
33,10.64,12.96,11.88,-
32,14.12,13.47,12.17,-
31,14.02,12.45,12.03,-
30,10.98,12.07,11.81,-
29,13.90,12.23,12.1,-
28,12.48,11.42,11.81,-
27,10.30,10.79,11.97,-
26,12.76,11.24,12.03,-
25,11.46,11.24,11.92,-
24,10.32,11.65,12.2,-
23,10.59,12.01,12.46,-
22,11.66,12.62,12.72,-
21,13.50,12.62,12.97,-
20,12.68,12.82,13.07,-
19,11.69,12.25,13.18,-
18,14.10,12.26,13.27,-
17,10.96,12.29,13.3,-
16,14.21,13.05,13.53,-
15,10.87,12.79,13.57,-
14,11.71,13.62,13.57,-
13,14.61,14.05,13.83,-
12,13.23,13.82,13.5,-
11,13.44,13.82,-,-
10,14.21,14.11,-,-
9,14.49,13.82,-,-
8,13.80,13.82,-,-
7,12.59,13.42,-,-
6,14.33,13.97,-,-
5,13.35,12.98,-,-
4,14.67,-,-,-
3,10.06,-,-,-
2,14.25,-,-,-
1,11.36,-,-,-
