Form,NewDescription
1-A POS,Reg A Offering Amendment
1-A-W,Reg A Offering Withdrawal
1-E,Small Biz Investment Notice
1-E AD,Small Biz Sales Material
1-K,Reg A Annual Report
1-SA,Reg A Semiannual Report
1-U,Reg A Current Report
1-Z,Reg A Offering Termination
1-Z-W,ABS Distribution Report
2-E,Annual Report
10-12B,Amended Annual Report
10-12G,Quarterly Report
10-D,Amended Quarterly Report
10-K,Employee Stock Plan Report
10-KT,Institutional Investment Report
10-Q,13F Omitted Info Notice
10-QT,Large Trader Registration
11-K,Proposed Sale Notice
11-KT,Termination of Registration
13F-CTR,Class Termination
13F-HR,Class Termination (Section 12g)
13F-NT,Registration Withdrawal
13H,NT 10-K
144,NT 10-Q
15-12G,NT 20-F
15-15D,NT NCSR
15F-12B,NT-NCEN
15F-12G,NT-NCSR
15F-15D,Notification of Late Filing
17HACON,Order of Registration
17HQCON,Statement of Beneficial Ownership
18-12B,Statement of Beneficial Ownership
18-12G,Statement of Beneficial Ownership
18-K,Notice of Exempt Solicitation
20-F,Statement of Changes in Beneficial Ownership
20FR12B,Statement of Changes in Beneficial Ownership
20FR12G,Institutional Investment Manager Filing
24F-2NT,Quarterly Report
25,Amended Quarterly Report
25-NSE,Annual Report
3,
305B2,
4,
40-6B,
40-17F1,
40-17F2,
40-17G,
40-17GCS,
40-24B2,
40-33,
40-8B25,
40-8F-2,
40-APP,
40-F,
40FR12B,
40FR12G,
40-OIP,
424A,
424B1,
424B2,
424B3,
424B4,
424B5,
424B7,
424B8,
424H,
425,
424I,
485APOS,
485BPOS,
485BXT,
486APOS,
486BPOS,
486BXT,
487,
497,
497AD,
497H2,
497J,
497K,
497VPI,
497VPSUB,
497VPU,
5,
6-K,
8-A12B,
8-A12G,
8-K,
8-K12B,
8-K12G3,
8-K15D5,
ABS-15G,
ABS-EE,
ANNLRPT,
APP WD,
ARS,
ATS-N,
ATS-N/CA,
ATS-N/MA,
ATS-N/OFA,
ATS-N/UA,
ATS-N-C,
ATS-N-W,
AW,
AW WD,
BULK,
C,
C-W,
C/A-W,
C-U,
C-U-W,
C-AR,
C-AR-W,
C-AR/A-W,
C-TR,
C-TR-W,
CB,
CERT,
CFPORTAL,
CFPORTAL-W,
CORRESP,
D,
DEF 14A,
DEF 14C,
DEFA14A,
DEFA14C,
DEFC14A,
DEFC14C,
DEFM14A,
DEFM14C,
DEFN14A,
DEFR14A,
DEFR14C,
DEL AM,
DFAN14A,
DFRN14A,
DOS,
DOSLTR,
DRS,
DRSLTR,
DSTRBRPT,
F-1,
F-10,
F-10EF,
F-10POS,
F-1MEF,
F-3,
F-3ASR,
F-3D,
F-3DPOS,
F-3MEF,
F-4,
F-4MEF,
F-6 POS,
F-6,
F-6EF,
F-7 POS,
F-7,
F-8 POS,
F-8,
F-80,
F-80POS,
F-N,
FWP,
F-X,
IRANNOTICE,
MA,
MA-I,
MA-W,
MODULE,
N-14 8C,
N-14,
N-14MEF,
N-18F1,
N-1A,
N-2,
N-2ASR,
N-2 POSASR,
N-23C-2,
N-23C3A,
N-23C3B,
N-23C3C,
N-27D-1,
N-2MEF,
N-3,
N-30B-2,
N-30D,
N-4,
N-5,
N-54A,
N-54C,
N-6,
N-6F,
N-8A,
N-8B-2,
N-8B-3,
N-8B-4,
N-8F,
N-CEN,
N-CR,
N-CSR,
N-CSRS,
N-MFP2/A,
N-MFP3,
NPORT-EX,
NPORT-NP,
NPORT-P,
N-PX,
N-PX CTR,
N-RN,
NRSRO-UPD,
NRSRO-CE,
NRSRO-FR,
NRSRO-WCLS,
NRSRO-WREG,
NT 10-K,
NT 10-D,
NT 10-Q,
NT 11-K,
NT 15D2,
NT 20-F,
NT-NCEN,
NT-NCSR,
N-VP,
N-VPFS,
POS 8C,
POS AM,
POS AMI,
POSASR,
POS EX,
POS462B,
POS462C,
PRE 14A,
PRE 14C,
PREC14A,
PREC14C,
PREM14A,
PREM14C,
PREN14A,
PRER14A,
PRER14C,
PRRN14A,
PX14A6G,
PX14A6N,
QRTLYRPT,
RW,
RW WD,
S-1,
S-11,
S-11MEF,
S-1MEF,
S-20,
S-3,
S-3ASR,
S-3D,
S-3DPOS,
S-3MEF,
S-4 POS,
S-4,
S-4EF,
S-4MEF,
S-6,
S-8,
S-8 POS,
S-B,
S-BMEF,
SBSE,
SBSE-A,
SBSE-BD,
SBSE-C,
SBSE-W,
SBSE-DISPUTE NOTICE,
SBSE-CCO-RPT,
SC 13D,
SCHEDULE 13D,
SC 13E1,
SC 13E3,
SC 13G,
SCHEDULE 13G,
SC 14D9,
SC 14F1,
SC 14N,
SC 14N-S,
SC TO-C,
SC TO-I,
SC TO-T,
SC13E4F,
SC14D1F,
SC14D9C,
SC14D9F,
SD,
SDR,
SDR-CCO,
SDR-W,
SF-1,
SF-1MEF,
SF-3,
SF-3MEF,
SH-ER,
SH-NT,
SP 15D2,
SPDSCL,
SUPPL,
T-3,
T-6,
TA-1,
TA-2,
TA-W,
UPLOAD,
UNDER,
X-17A-5,
